INFO:root:V = 8211  D = 10768
INFO:root:[ iteration ] l2-l1  -976759.411 - -980147.017 = 3387.606 
INFO:root:[ iteration ]  step 7
INFO:root:[ iteration ] l2-l1  -974171.681 - -976759.411 = 2587.730 
INFO:root:[ iteration ]  step 8
INFO:root:[ iteration ] l2-l1  -972207.337 - -974171.681 = 1964.344 
INFO:root:[ iteration ]  step 9
INFO:root:[ iteration ] l2-l1  -970690.974 - -972207.337 = 1516.363 
INFO:root:[ iteration ]  step 10
INFO:root:[ iteration ] l2-l1  -969496.881 - -970690.974 = 1194.093 
INFO:root:[ iteration ]  step 11
INFO:root:[ iteration ] l2-l1  -968544.087 - -969496.881 = 952.794 
INFO:root:[ iteration ]  step 12
INFO:root:[ iteration ] l2-l1  -967766.981 - -968544.087 = 777.106 
INFO:root:[ iteration ]  step 13
INFO:root:[ iteration ] l2-l1  -967120.955 - -967766.981 = 646.026 
INFO:root:[ iteration ]  step 14
INFO:root:[ iteration ] l2-l1  -966572.683 - -967120.955 = 548.272 
INFO:root:[ iteration ]  step 15
INFO:root:[ iteration ] l2-l1  -966100.028 - -966572.683 = 472.655 
INFO:root:[ iteration ]  step 16
INFO:root:[ iteration ] l2-l1  -965682.782 - -966100.028 = 417.246 
INFO:root:[ iteration ]  step 17
INFO:root:[ iteration ] l2-l1  -965310.468 - -965682.782 = 372.314 
INFO:root:[ iteration ]  step 18
INFO:root:[ iteration ] l2-l1  -964985.462 - -965310.468 = 325.005 
INFO:root:[ iteration ]  step 19
INFO:root:[ iteration ] l2-l1  -964702.638 - -964985.462 = 282.825 
INFO:root:[ iteration ]  step 20
INFO:root:[ iteration ] l2-l1  -964449.777 - -964702.638 = 252.861 
INFO:root:[ iteration ]  step 21
INFO:root:[ iteration ] l2-l1  -964223.126 - -964449.777 = 226.650 
INFO:root:[ iteration ]  step 22
INFO:root:[ iteration ] l2-l1  -964019.173 - -964223.126 = 203.953 
INFO:root:[ iteration ]  step 23
INFO:root:[ iteration ] l2-l1  -963831.895 - -964019.173 = 187.278 
INFO:root:[ iteration ]  step 24
INFO:root:[ iteration ] l2-l1  -963657.999 - -963831.895 = 173.895 
INFO:root:[ iteration ]  step 25
INFO:root:[ iteration ] l2-l1  -963492.592 - -963657.999 = 165.408 
INFO:root:[ iteration ]  step 26
INFO:root:[ iteration ] l2-l1  -963331.211 - -963492.592 = 161.381 
INFO:root:[ iteration ]  step 27
INFO:root:[ iteration ] l2-l1  -963178.543 - -963331.211 = 152.668 
INFO:root:[ iteration ]  step 28
INFO:root:[ iteration ] l2-l1  -963038.407 - -963178.543 = 140.136 
INFO:root:[ iteration ]  step 29
INFO:root:[ iteration ] l2-l1  -962907.713 - -963038.407 = 130.694 
INFO:root:[ iteration ]  step 30
INFO:root:[ iteration ] l2-l1  -962784.639 - -962907.713 = 123.074 
INFO:root:[ iteration ]  step 31
INFO:root:[ iteration ] l2-l1  -962669.454 - -962784.639 = 115.185 
INFO:root:[ iteration ]  step 32
INFO:root:[ iteration ] l2-l1  -962562.037 - -962669.454 = 107.417 
INFO:root:[ iteration ]  step 33
